里別,人口數,人口百分比 (%)
新高里,"14,194",7.04
新坪里,"9,770",4.85
新城里,"9,465",4.7
新光里,"9,327",4.63
新福里,"8,989",4.46
新興里,"8,462",4.2
長億里,"8,455",4.2
永成里,"8,401",4.17
宜欣里,"7,220",3.58
宜佳里,"7,028",3.49
新吉里,"6,742",3.35
光華里,"5,988",2.97
太平里,"5,780",2.87
德隆里,"5,711",2.83
宜昌里,"5,637",2.8
東平里,"4,858",2.41
永平里,"4,761",2.36
豐年里,"4,760",2.36
中平里,"4,646",2.31
成功里,"4,455",2.21
中山里,"4,444",2.21
光明里,"4,282",2.12
福隆里,"4,141",2.05
中政里,"4,084",2.03
興隆里,"3,709",1.84
坪林里,"3,693",1.83
光隆里,"3,547",1.76
中興里,"3,537",1.76
東和里,"3,233",1.6
建興里,"3,159",1.57
建國里,"3,031",1.5
永隆里,"2,939",1.46
大興里,"2,748",1.36
勤益里,"2,577",1.28
平安里,"2,490",1.24
頭汴里,"1,890",0.94
聖和里,"1,653",0.82
東汴里,"1,154",0.57
黃竹里,576,0.29
